date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted
2020/4/1,61.625,62.18,59.782501,60.227501,176218400,59.367474
2020/3/31,63.900002,65.622498,63,63.572498,197002000,62.664707
2020/3/30,62.685001,63.880001,62.349998,63.702499,167976400,62.79285
2020/3/27,63.1875,63.967499,61.762501,61.935001,204216800,61.050594
2020/3/26,61.630001,64.669998,61.59,64.610001,252087200,63.687393
2020/3/25,62.6875,64.5625,61.075001,61.380001,303602000,60.503517
2020/3/24,59.09,61.922501,58.575001,61.720001,287531200,60.838661
2020/3/23,57.02,57.125,53.1525,56.092499,336752800,55.291519
2020/3/20,61.794998,62.9575,57,57.310001,401693200,56.491634
2020/3/19,61.8475,63.209999,60.6525,61.195,271857200,60.321156
2020/3/18,59.942501,62.5,59.279999,61.6675,300233600,60.786911
2020/3/17,61.877499,64.402496,59.599998,63.215,324056000,62.312309
2020/3/16,60.487499,64.769997,60,60.552502,322423600,59.687832
2020/3/13,66.222504,69.980003,63.237499,69.4925,370732000,68.500175
2020/3/12,63.985001,67.5,62,62.057499,418474000,61.171341
2020/3/11,69.347504,70.305,67.964996,68.857498,255598800,67.874245
2020/3/10,69.285004,71.610001,67.342499,71.334999,285290000,70.316368
2020/3/9,65.9375,69.522499,65.75,66.542503,286744800,65.592308
2020/3/6,70.5,72.705002,70.307503,72.2575,226176800,71.225685
2020/3/5,73.879997,74.887497,72.852501,73.230003,187572800,72.184303
2020/3/4,74.110001,75.849998,73.282501,75.684998,219178400,74.60424
2020/3/3,75.917503,76,71.449997,72.330002,319475600,71.297157
2020/3/2,70.57,75.360001,69.43,74.702499,341397200,73.635773
2020/2/28,64.315002,69.602501,64.092499,68.339996,426884800,67.364128
2020/2/27,70.275002,71.5,68.239998,68.379997,320605600,67.403557
2020/2/26,71.6325,74.470001,71.625,73.162498,198054800,72.117767
2020/2/25,75.237503,75.6325,71.532501,72.019997,230673600,70.991577
